parliamentarian_1,parliamentarian_2,proportion_agreement
"Ibáñez, Diego","Ramírez, Guillermo",0.9749670619235836
"Palma, Hernán","Schubert, Stephan",0.9749670619235836
"Cornejo, Eduardo","Mix, Claudia",0.9749670619235836
"Araya, Cristián","Giordano, Andrés",0.9749670619235836
"Jürgensen, Harry","Nuyado, Emilia",0.9749670619235836
"Bobadilla, Sergio","Placencia, Alejandra",0.9762845849802372
"González, Félix","Schubert, Stephan",0.9762845849802372
"Cuello, Luis Alberto","Martínez, Cristóbal",0.9762845849802372
"Pizarro, Lorena","Trisotti, Renzo",0.9762845849802372
"Alessandri, Jorge","Ramírez, Matías",0.9762845849802372
"Kaiser, Johannes","Mix, Claudia",0.9762845849802372
"Morales, Javiera","Romero, Agustín",0.9762845849802372
"Morales, Javiera","Naveillan, Gloria",0.9762845849802372
"Bianchi, Carlos","Romero, Leonidas",0.9762845849802372
"Sánchez, Luis","Yeomans, Gael",0.9762845849802372
"González, Félix","Urruticoechea, Cristóbal",0.9762845849802372
"Bugueño, Félix","Romero, Leonidas",0.9776021080368906
"González, Félix","Sánchez, Luis",0.9776021080368906
"Manouchehri, Daniel","Ojeda, Mauricio",0.9776021080368906
"Pérez, Catalina","Romero, Agustín",0.9776021080368906
"Castillo, Nathalie","Durán, Jorge",0.9776021080368906
"Concha, Sara","Fries, Lorena",0.9776021080368906
"Cuello, Luis Alberto","Sulantay, Marco Antonio",0.9776021080368906
"González, Félix","Meza, José Carlos",0.9776021080368906
"Bobadilla, Sergio","Winter, Gonzalo",0.9776021080368906
"Bobadilla, Sergio","Veloso, Consuelo",0.9776021080368906
"Cuello, Luis Alberto","Teao, Hotuiti",0.9776021080368906
"De la Carrera, Gonzalo","Nuyado, Emilia",0.9789196310935442
"Schubert, Stephan","Sáez, Jaime",0.9789196310935442
"Malla, Luis","Romero, Leonidas",0.9789196310935442
"Donoso, Felipe","Giordano, Andrés",0.9789196310935442
"Barrera, Boris","Weisse, Flor",0.9789196310935442
"Bobadilla, Sergio","Serrano, Daniela",0.9789196310935442
"Alessandri, Jorge","Cuello, Luis Alberto",0.9789196310935442
"Naveillan, Gloria","Serrano, Daniela",0.9789196310935442
"Cid, Sofía","Cuello, Luis Alberto",0.9789196310935442
"Meza, José Carlos","Palma, Hernán",0.9789196310935442
"Acevedo, María Candelaria","Weisse, Flor",0.9789196310935442
"Serrano, Daniela","Sulantay, Marco Antonio",0.9789196310935442
"Romero, Agustín","Sagardia, Clara",0.9789196310935442
"Carter, Álvaro","Ramírez, Matías",0.9789196310935442
"Mix, Claudia","Trisotti, Renzo",0.9789196310935442
"Bravo, Marta","Gazmuri, Ana María",0.9802371541501976
"Cicardini, Daniella","Kaiser, Johannes",0.9802371541501976
"Rojas, Camila","Romero, Agustín",0.9802371541501976
"Acevedo, María Candelaria","Cornejo, Eduardo",0.9802371541501976
"Delgado, Viviana","Romero, Agustín",0.9802371541501976
"Moreno, Benjamín","Tello, Carolina",0.9802371541501976
"Serrano, Daniela","Urruticoechea, Cristóbal",0.9802371541501976
"González, Félix","Moreno, Benjamín",0.9802371541501976
"Meza, José Carlos","Sáez, Jaime",0.9802371541501976
"Fries, Lorena","Lilayu, Daniel",0.9802371541501976
"Coloma, Juan Antonio","Ibáñez, Diego",0.9802371541501976
"Flores, Camila","Placencia, Alejandra",0.9802371541501976
"Naveillan, Gloria","Ramírez, Matías",0.9802371541501976
"Araya, Cristián","Tello, Carolina",0.9802371541501976
"Romero, Leonidas","Ulloa, Héctor",0.9802371541501976
"Celis, Andrés","Mix, Claudia",0.9815546772068511
"Acevedo, María Candelaria","Donoso, Felipe",0.9815546772068511
"Naveillan, Gloria","Yeomans, Gael",0.9815546772068511
"Cid, Sofía","Gazmuri, Ana María",0.9815546772068511
"Ramírez, Matías","Raphael, Marcia",0.9815546772068511
"Pérez, Catalina","Schubert, Stephan",0.9815546772068511
"Benavente, Gustavo","Cariola, Karol",0.9815546772068511
"Barchiesi, Chiara","Morales, Javiera",0.9828722002635046
"Mix, Claudia","Sulantay, Marco Antonio",0.9828722002635046
"Castillo, Nathalie","Matheson, Christian",0.9828722002635046
"Schubert, Stephan","Yeomans, Gael",0.9828722002635046
"Ibáñez, Diego","Sulantay, Marco Antonio",0.9828722002635046
"Meza, José Carlos","Pérez, Catalina",0.9828722002635046
"Donoso, Felipe","Serrano, Daniela",0.9828722002635046
"Cuello, Luis Alberto","Ramírez, Guillermo",0.9828722002635046
"Romero, Leonidas","Veloso, Consuelo",0.9828722002635046
"Ojeda, Mauricio","Sáez, Jaime",0.9828722002635046
"Cuello, Luis Alberto","Moreno, Benjamín",0.9828722002635046
"Acevedo, María Candelaria","Lilayu, Daniel",0.9828722002635046
"Cariola, Karol","Schalper, Diego",0.9828722002635046
"Barrera, Boris","Labra, Paula",0.9828722002635046
"Bugueño, Félix","Romero, Agustín",0.9828722002635046
"Barrera, Boris","De la Carrera, Gonzalo",0.9828722002635046
"González, Marta","Kaiser, Johannes",0.9828722002635046
"Cornejo, Eduardo","Cuello, Luis Alberto",0.9828722002635046
"Naranjo, Jaime","Ojeda, Mauricio",0.9828722002635046
"Barchiesi, Chiara","Ñanco, Ericka",0.9841897233201581
"Donoso, Felipe","Fries, Lorena",0.9841897233201581
"Flores, Camila","Sáez, Jaime",0.9841897233201581
"Cariola, Karol","Matheson, Christian",0.9841897233201581
"Ojeda, Mauricio","Yeomans, Gael",0.9841897233201581
"Sagardia, Clara","Sánchez, Luis",0.9841897233201581
"Ibáñez, Diego","Schubert, Stephan",0.9841897233201581
"Donoso, Felipe","Gazmuri, Ana María",0.9841897233201581
"Celis, Andrés","Ñanco, Ericka",0.9841897233201581
"Morales, Javiera","Schubert, Stephan",0.9855072463768116
"Barrera, Boris","Sulantay, Marco Antonio",0.9855072463768116
"Benavente, Gustavo","Gazmuri, Ana María",0.9855072463768116
"González, Félix","Naveillan, Gloria",0.9855072463768116
"Cornejo, Eduardo","Veloso, Consuelo",0.9855072463768116
"Pérez, Catalina","Romero, Leonidas",0.9855072463768116
"Ibáñez, Diego","Ojeda, Mauricio",0.9855072463768116
"Brito, Jorge","Concha, Sara",0.9855072463768116
"Bobadilla, Sergio","Mix, Claudia",0.9855072463768116
"Cornejo, Eduardo","Winter, Gonzalo",0.9855072463768116
"Durán, Jorge","Pizarro, Lorena",0.9855072463768116
"Ramírez, Guillermo","Tello, Carolina",0.9855072463768116
"Coloma, Juan Antonio","Cuello, Luis Alberto",0.9855072463768116
"Naveillan, Gloria","Pizarro, Lorena",0.9855072463768116
"Barchiesi, Chiara","González, Félix",0.9868247694334651
"Barrera, Boris","Trisotti, Renzo",0.9868247694334651
"Placencia, Alejandra","Ramírez, Guillermo",0.9868247694334651
"Naveillan, Gloria","Nuyado, Emilia",0.9868247694334651
"Delgado, Viviana","Schubert, Stephan",0.9868247694334651
"Giordano, Andrés","Schalper, Diego",0.9868247694334651
